name,county,state,full_fips,current_mw,construction_mw,planned_mw,current_plus_construction_mw,total_mw,rto,pricing_zone,interconnection,data_availability,migration_role,,,,,,,,,,,
"Fulton County, GA",Fulton,Georgia,13121,654.75,317,964.7,971.75,1936.45,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Spotsylvania County, VA",Spotsylvania,Virginia,51177,60,400,1470,460,1930,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Linn County, IA",Linn,Iowa,19113,2.31,420,1455,422.31,1877.31,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Bartow County, GA",Bartow,Georgia,13015,0,45,1830,45,1875,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Culpeper County, VA",Culpeper,Virginia,51047,67.5,240,1558,307.5,1865.5,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Stafford County, VA",Stafford,Virginia,51179,0,106,1758,106,1864,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Franklin County, OH",Franklin,Ohio,39049,1255,174,375,1429,1804,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Ward County, TX",Ward,Texas,48475,441,234,1107,675,1782,ERCOT,LZ_WEST,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Washington County, OR",Washington,Oregon,41067,837.6,98,840,935.6,1775.6,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Kane County, IL",Kane,Illinois,17089,0,40,1689,40,1729,PJM,COMED,Eastern,public_zonal,source,,,,,,,,,,,
"Dallas County, IA",Dallas,Iowa,19049,292,96,1300,388,1688,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Tucker County, WV",Tucker,West Virginia,54093,0,0,1656,0,1656,PJM,APS,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Tarrant County, TX",Tarrant,Texas,48439,292.18,301,1008,593.18,1601.18,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Dickens County, TX",Dickens,Texas,48125,0,266,1334,266,1600,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Bexar County, TX",Bexar,Texas,48029,648.15,241,682,889.15,1571.15,ERCOT,LZ_SOUTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Mecklenburg County, VA",Mecklenburg,Virginia,51117,791.5,114,616.5,905.5,1522,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Elkhart County, IN",Elkhart,Indiana,18039,0,0,1500,0,1500,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Shelby County, TN",Shelby,Tennessee,47157,524.63,920,40,1444.63,1484.63,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Kendall County, IL",Kendall,Illinois,17093,0,40,1444,40,1484,PJM,COMED,Eastern,public_zonal,source,,,,,,,,,,,
"Ellis County, TX",Ellis,Texas,48139,386,345,720,731,1451,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Cumberland County, PA",Cumberland,Pennsylvania,42041,0,0,1350,0,1350,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Williams County, ND",Williams,North Dakota,38105,290,585,460,875,1335,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Clay County, MO",Clay,Missouri,29047,253.4,365.2,706.8,618.6,1325.4,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Henrico County, VA",Henrico,Virginia,51087,677.3,94,536,771.3,1307.3,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Fayette County, GA",Fayette,Georgia,13113,360,465,446,825,1271,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Chaves County, NM",Chaves,New Mexico,35005,0,0,1240,0,1240,SPP,SPP_HUB,Eastern,public_hub,cross_ic_destination,,,,,,,,,,,
"Runnels County, TX",Runnels,Texas,48399,20,10,1180,30,1210,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"St. Joseph County, IN",St. Joseph,Indiana,18141,506.55,300.6,401,807.15,1208.15,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"New Castle County, DE",New Castle,Delaware,10003,7.3,0,1200,7.3,1207.3,PJM,DPL,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Phelps County, MO",Phelps,Missouri,29161,0,0,1200,0,1200,MISO,MISO_ILLINOIS_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Hays County, TX",Hays,Texas,48209,0,50,1150,50,1200,ERCOT,LZ_SOUTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"King George County, VA",King George,Virginia,51099,0,0,1200,0,1200,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Morrow County, OR",Morrow,Oregon,41049,877,300,0,1177,1177,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Luzerne County, PA",Luzerne,Pennsylvania,42079,98,122,940,220,1160,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Medina County, TX",Medina,Texas,48325,160,200,790,360,1150,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Umatilla County, OR",Umatilla,Oregon,41059,943.5,175,26,1118.5,1144.5,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Pinal County, AZ",Pinal,Arizona,4021,0,0,1120,0,1120,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Monroe County, GA",Monroe,Georgia,13207,0,0,1120,0,1120,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Goochland County, VA",Goochland,Virginia,51075,0,0,1100,0,1100,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Fairfax County, VA",Fairfax,Virginia,51059,416.4,423,256.7,839.4,1096.1,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Walton County, GA",Walton,Georgia,13297,0,0,1088,0,1088,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Lake County, IN",Lake,Indiana,18089,20,20,1020,40,1060,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Frederick County, MD",Frederick,Maryland,24021,0,72,987,72,1059,PJM,BGE,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Fairfield County, OH",Fairfield,Ohio,39045,155,160,736,315,1051,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Tazewell County, IL",Tazewell,Illinois,17179,0,0,1050,0,1050,MISO,MISO_ILLINOIS_HUB,Eastern,public_zonal,source,,,,,,,,,,,
"El Paso County, TX",El Paso,Texas,48141,22.3,205.3,800,227.6,1027.6,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Yellowstone County, MT",Yellowstone,Montana,30111,0,0,1000,0,1000,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,same_ic,,,,,,,,,,,
"Navarro County, TX",Navarro,Texas,48349,400,0,600,400,1000,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Cabell County, WV",Cabell,West Virginia,54011,0,0,1000,0,1000,PJM,APS,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Richmond County, NC",Richmond,North Carolina,37153,0,50,950,50,1000,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Travis County, TX",Travis,Texas,48453,358.58,0,640.045,358.58,998.625,ERCOT,LZ_SOUTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Dickey County, ND",Dickey,North Dakota,38021,380,100,500,480,980,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Coweta County, GA",Coweta,Georgia,13077,0,0,970,0,970,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Catawba County, NC",Catawba,North Carolina,37035,223,196,536,419,955,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Niagara County, NY",Niagara,New York,36063,399.2,176,350.5,575.2,925.7,NYISO,ZONE_F,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Louisa County, VA",Louisa,Virginia,51109,0,70,850,70,920,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Greene County, PA",Greene,Pennsylvania,42059,0,0,910,0,910,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Clark County, OH",Clark,Ohio,39023,54,25,823,79,902,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Nueces County, TX",Nueces,Texas,48355,200.5,500,200,700.5,900.5,ERCOT,LZ_SOUTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Trumbull County, OH",Trumbull,Ohio,39155,0,200,700,200,900,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Twiggs County, GA",Twiggs,Georgia,13289,0,0,900,0,900,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Columbia County, GA",Columbia,Georgia,13073,0,0,900,0,900,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Clark County, NV",Clark,Nevada,32003,428.33,20,444,448.33,892.33,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Williamson County, TX",Williamson,Texas,48491,85.41,313,460,398.41,858.41,ERCOT,LZ_SOUTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Prince George's County, MD",Prince George's,Maryland,24033,2,0,850,2,852,PJM,BGE,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Dorchester County, SC",Dorchester,South Carolina,45035,0,130,720,130,850,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Fauquier County, VA",Fauquier,Virginia,51061,12,0,825,12,837,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Pottawattamie County, IA",Pottawattamie,Iowa,19155,602,100,112,702,814,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Mitchell County, TX",Mitchell,Texas,48335,0,100,700,100,800,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Madison County, MS",Madison,Mississippi,28089,250,150,400,400,800,MISO,MISO_ARKANSAS_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Grant County, WA",Grant,Washington,53025,763.9,0,36,763.9,799.9,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Jefferson County, AL",Jefferson,Alabama,1073,9.5,54,720,63.5,783.5,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Polk County, FL",Polk,Florida,12105,8,15,760,23,783,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Polk County, IA",Polk,Iowa,19153,643.9,118.2,5,762.1,767.1,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Newton County, GA",Newton,Georgia,13217,210,0,550,210,760,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Dane County, WI",Dane,Wisconsin,55025,7.95,0,750,7.95,757.95,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Ector County, TX",Ector,Texas,48135,207,0,540,207,747,ERCOT,LZ_WEST,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Salt Lake County, UT",Salt Lake,Utah,49035,347.5,206,178,553.5,731.5,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Bell County, TX",Bell,Texas,48027,300,168.25,233.25,468.25,701.5,ERCOT,LZ_SOUTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Monroe County, OH",Monroe,Ohio,39111,0,266,429,266,695,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"DuPage County, IL",DuPage,Illinois,17043,315.85,186,187,501.85,688.85,PJM,COMED,Eastern,public_zonal,source,,,,,,,,,,,
"DeKalb County, IL",DeKalb,Illinois,17037,260,60,360,320,680,PJM,COMED,Eastern,public_zonal,source,,,,,,,,,,,
"Iredell County, NC",Iredell,North Carolina,37097,4,0,672,4,676,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Wright County, MN",Wright,Minnesota,27171,0,0,650,0,650,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Collin County, TX",Collin,Texas,48085,342.81,76,227.12,418.81,645.93,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Wyandotte County, KS",Wyandotte,Kansas,20209,14,0,600,14,614,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Platte County, MO",Platte,Missouri,29165,13.25,0,600,13.25,613.25,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Floyd County, GA",Floyd,Georgia,13115,0,50,554,50,604,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Sarpy County, NE",Sarpy,Nebraska,31153,598.05,0,5,598.05,603.05,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Cascade County, MT",Cascade,Montana,30013,0,0,600,0,600,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,same_ic,,,,,,,,,,,
"Hale County, TX",Hale,Texas,48189,73,127,400,200,600,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Gray County, TX",Gray,Texas,48179,0,150,450,150,600,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Sangamon County, IL",Sangamon,Illinois,17167,0,0,600,0,600,MISO,MISO_ILLINOIS_HUB,Eastern,public_zonal,source,,,,,,,,,,,
"Orange County, VA",Orange,Virginia,51137,0,0,600,0,600,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
