name,county,state,full_fips,current_mw,construction_mw,planned_mw,current_plus_construction_mw,total_mw,rto,pricing_zone,interconnection,data_availability,migration_role,,,,,,,,,,,
"Benton County, WA",Benton,Washington,53005,0,0,300,0,300,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Cavalier County, ND",Cavalier,North Dakota,38019,30,70,200,100,300,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Douglas County, NE",Douglas,Nebraska,31055,160,140,0,300,300,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Nicollet County, MN",Nicollet,Minnesota,27103,0,0,300,0,300,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Winkler County, TX",Winkler,Texas,48495,150,150,0,300,300,ERCOT,LZ_WEST,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Payne County, OK",Payne,Oklahoma,40119,0,50,250,50,300,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Shelby County, OH",Shelby,Ohio,39149,0,50,250,50,300,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Appomattox County, VA",Appomattox,Virginia,51011,0,50,250,50,300,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Cherokee County, SC",Cherokee,South Carolina,45021,0,0,300,0,300,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Powhatan County, VA",Powhatan,Virginia,51145,0,0,300,0,300,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Surry County, VA",Surry,Virginia,51181,0,20,280,20,300,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Bosque County, TX",Bosque,Texas,48035,0,40,248,40,288,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Erie County, OH",Erie,Ohio,39043,0,96,190,96,286,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Montgomery County, AL",Montgomery,Alabama,1101,0.8,280,5,280.8,285.8,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Cass County, ND",Cass,North Dakota,38017,2.6,50,230,52.6,282.6,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Upton County, TX",Upton,Texas,48461,280,0,0,280,280,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Bucks County, PA",Bucks,Pennsylvania,42017,0,80,200,80,280,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Hampden County, MA",Hampden,Massachusetts,25013,1.5,0,274,1.5,275.5,ISO-NE,ISONE_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Reeves County, TX",Reeves,Texas,48389,207,63,0,270,270,ERCOT,LZ_WEST,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Rockdale County, GA",Rockdale,Georgia,13247,0,30,240,30,270,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Whitfield County, GA",Whitfield,Georgia,13313,217,50,0,267,267,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Washington County, GA",Washington,Georgia,13303,261,0,0,261,261,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Warren County, IA",Warren,Iowa,19181,250,0,0,250,250,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Clayton County, GA",Clayton,Georgia,13063,0,50,200,50,250,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Washoe County, NV",Washoe,Nevada,32031,176.5,67,0,243.5,243.5,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Arapahoe County, CO",Arapahoe,Colorado,8005,122.05,60,60,182.05,242.05,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Monroe County, MI",Monroe,Michigan,26115,0.5,0,240,0.5,240.5,MISO,MISO_MICHIGAN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Shenandoah County, VA",Shenandoah,Virginia,51171,0,0,240,0,240,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Middlesex County, NJ",Middlesex,New Jersey,34023,178.93,12,43,190.93,233.93,PJM,PSEG,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Wake County, NC",Wake,North Carolina,37183,18.33,0,213,18.33,231.33,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Valencia County, NM",Valencia,New Mexico,35061,230,0,0,230,230,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Mercer County, PA",Mercer,Pennsylvania,42085,150,80,0,230,230,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Pend Oreille County, WA",Pend Oreille,Washington,53051,100,125,0,225,225,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Stark County, OH",Stark,Ohio,39151,1.5,221,0,222.5,222.5,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Chelan County, WA",Chelan,Washington,53007,40.5,60,120,100.5,220.5,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Ada County, ID",Ada,Idaho,16001,218.25,0,0,218.25,218.25,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"King County, WA",King,Washington,53033,210.46,0,0,210.46,210.46,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Johnson County, KS",Johnson,Kansas,20091,39.05,0,166,39.05,205.05,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Andrews County, TX",Andrews,Texas,48003,105,100,0,205,205,ERCOT,LZ_WEST,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Manassas city, VA",Manassas,Virginia,51683,30,150,25,180,205,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Natrona County, WY",Natrona,Wyoming,56025,1.1,10,190,11.1,201.1,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Glasscock County, TX",Glasscock,Texas,48173,200,0,0,200,200,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"La Salle County, TX",La Salle,Texas,48283,0,70,130,70,200,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Morgan County, IN",Morgan,Indiana,18109,0,0,200,0,200,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Westmoreland County, PA",Westmoreland,Pennsylvania,42129,20,0,180,20,200,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Pittsylvania County, VA",Pittsylvania,Virginia,51143,0,0,200,0,200,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Richmond County, GA",Richmond,Georgia,13245,0,0,200,0,200,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Crisp County, GA",Crisp,Georgia,13081,0,0,200,0,200,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Carver County, MN",Carver,Minnesota,27019,13.8,0,180,13.8,193.8,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Tulsa County, OK",Tulsa,Oklahoma,40143,31.9,40,120,71.9,191.9,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Moore County, TX",Moore,Texas,48341,0,100,87,100,187,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Delaware County, OH",Delaware,Ohio,39041,10.5,18,157.5,28.5,186,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Sumner County, TN",Sumner,Tennessee,47165,120,44.8,20,164.8,184.8,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"LaPorte County, IN",LaPorte,Indiana,18091,0,0,180,0,180,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Banks County, GA",Banks,Georgia,13011,0,120,60,120,180,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"New York County, NY",New York,New York,36061,178.28,0,0,178.28,178.28,NYISO,ZONE_J,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Wasco County, OR",Wasco,Oregon,41065,135,40,0,175,175,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Tuscaloosa County, AL",Tuscaloosa,Alabama,1125,0,170,0,170,170,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Baylor County, TX",Baylor,Texas,48023,0,83,83,83,166,ERCOT,LZ_WEST,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Virginia Beach city, VA",Virginia Beach,Virginia,51810,8,0,157,8,165,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"St. Louis County, MN",St. Louis,Minnesota,27137,1.3,0,160,1.3,161.3,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Kenosha County, WI",Kenosha,Wisconsin,55059,0,0,160,0,160,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Henry County, GA",Henry,Georgia,13151,0,20,140,20,160,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Petersburg city, VA",Petersburg,Virginia,51730,0,0,160,0,160,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Hudson County, NJ",Hudson,New Jersey,34017,137.5,4.4,10,141.9,151.9,PJM,PSEG,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Pulaski County, AR",Pulaski,Arkansas,5119,1.53,150,0,151.53,151.53,MISO,MISO_ARKANSAS_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Marshall County, KY",Marshall,Kentucky,21157,150,0,0,150,150,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Wayne County, MI",Wayne,Michigan,26163,13.4,3,130,16.4,146.4,MISO,MISO_MICHIGAN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Miami-Dade County, FL",Miami-Dade,Florida,12086,74.53,45.6,22.6,120.13,142.73,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Union County, NJ",Union,New Jersey,34039,42,0,100,42,142,PJM,PSEG,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Alameda County, CA",Alameda,California,6001,103.19,0,32.1,103.19,135.29,CAISO,NP15,Western,public_lap,cross_ic_destination,,,,,,,,,,,
"Grand Forks County, ND",Grand Forks,North Dakota,38035,130,0,0,130,130,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Rutherford County, NC",Rutherford,North Carolina,37161,120,10,0,130,130,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"El Paso County, CO",El Paso,Colorado,8041,53.45,0,75,53.45,128.45,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Kent County, MI",Kent,Michigan,26081,54.5,0,70,54.5,124.5,MISO,MISO_MICHIGAN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Howard County, TX",Howard,Texas,48227,50,72,0,122,122,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Cameron County, TX",Cameron,Texas,48061,0.7,60,60,60.7,120.7,ERCOT,LZ_SOUTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Uinta County, WY",Uinta,Wyoming,56041,0,0,120,0,120,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Rice County, MN",Rice,Minnesota,27131,0,0,120,0,120,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Beaver County, PA",Beaver,Pennsylvania,42007,120,0,0,120,120,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Greensville County, VA",Greensville,Virginia,51081,0,0,120,0,120,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Lehigh County, PA",Lehigh,Pennsylvania,42077,17.85,100,0,117.85,117.85,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Midland County, TX",Midland,Texas,48329,112,0,4,112,116,ERCOT,LZ_WEST,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Galveston County, TX",Galveston,Texas,48167,60,0,56,60,116,ERCOT,LZ_HOUSTON,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Rankin County, MS",Rankin,Mississippi,28121,0,116,0,116,116,MISO,MISO_ARKANSAS_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Jackson County, MO",Jackson,Missouri,29095,69.5,45,0,114.5,114.5,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Greenville County, SC",Greenville,South Carolina,45045,85,0.8,25,85.8,110.8,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Sacramento County, CA",Sacramento,California,6067,91.4,0,18,91.4,109.4,CAISO,NP15,Western,public_lap,cross_ic_destination,,,,,,,,,,,
"Butler County, OH",Butler,Ohio,39017,8.54,0,100,8.54,108.54,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Middlesex County, MA",Middlesex,Massachusetts,25017,88.5,0,20,88.5,108.5,ISO-NE,ISONE_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Oakland County, MI",Oakland,Michigan,26125,27.4,18,63,45.4,108.4,MISO,MISO_MICHIGAN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Stutsman County, ND",Stutsman,North Dakota,38093,106,0,0,106,106,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Buffalo County, NE",Buffalo,Nebraska,31019,100,5,0,105,105,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"San Francisco County, CA",San Francisco,California,6075,76.5,9,19,85.5,104.5,CAISO,NP15,Western,public_lap,cross_ic_destination,,,,,,,,,,,
"Cherokee County, NC",Cherokee,North Carolina,37039,104,0,0,104,104,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"York County, SC",York,South Carolina,45091,2,0,100,2,102,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Armstrong County, PA",Armstrong,Pennsylvania,42005,1.5,30,70,31.5,101.5,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Big Horn County, MT",Big Horn,Montana,30003,100,0,0,100,100,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,same_ic,,,,,,,,,,,
"Kings County, CA",Kings,California,6031,0,20,80,20,100,CAISO,NP15,Western,public_lap,cross_ic_destination,,,,,,,,,,,
"Briscoe County, TX",Briscoe,Texas,48045,98,2,0,100,100,ERCOT,LZ_WEST,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Contra Costa County, CA",Contra Costa,California,6013,0,99,0,99,99,CAISO,NP15,Western,public_lap,cross_ic_destination,,,,,,,,,,,
"Rockingham County, NC",Rockingham,North Carolina,37157,0,24,75,24,99,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Douglas County, CO",Douglas,Colorado,8035,74.99,22.5,0,97.49,97.49,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Denver County, CO",Denver,Colorado,8031,36.75,18,42,54.75,96.75,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Cobb County, GA",Cobb,Georgia,13067,24.53,48,24,72.53,96.53,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Gwinnett County, GA",Gwinnett,Georgia,13135,94,0,0,94,94,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Essex County, NJ",Essex,New Jersey,34013,87.71,0,0,87.71,87.71,PJM,PSEG,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Willacy County, TX",Willacy,Texas,48489,0,87,0,87,87,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Rockland County, NY",Rockland,New York,36087,67,20,0,87,87,NYISO,ZONE_G,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Knox County, TN",Knox,Tennessee,47093,86,0,0,86,86,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Wilkes County, GA",Wilkes,Georgia,13317,82,0,4,82,86,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Hennepin County, MN",Hennepin,Minnesota,27053,36.9,27,20,63.9,83.9,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Venango County, PA",Venango,Pennsylvania,42121,83.5,0,0,83.5,83.5,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Morrow County, OH",Morrow,Ohio,39117,82.5,0,0,82.5,82.5,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Putnam County, IL",Putnam,Illinois,17155,0,0,82,0,82,MISO,MISO_ILLINOIS_HUB,Eastern,public_zonal,source,,,,,,,,,,,
"Wagoner County, OK",Wagoner,Oklahoma,40145,0,0,80,0,80,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Fond du Lac County, WI",Fond du Lac,Wisconsin,55039,0,0,80,0,80,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Wood County, OH",Wood,Ohio,39173,0,40,40,40,80,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Yates County, NY",Yates,New York,36123,80,0,0,80,80,NYISO,ZONE_F,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Aiken County, SC",Aiken,South Carolina,45003,0,80,0,80,80,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Cook County, GA",Cook,Georgia,13075,40,0,40,40,80,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Caldwell County, NC",Caldwell,North Carolina,37027,78.5,0,0,78.5,78.5,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Marion County, IN",Marion,Indiana,18097,24.68,22,31,46.68,77.68,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Cleveland County, NC",Cleveland,North Carolina,37045,52,0,25,52,77,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Gregg County, TX",Gregg,Texas,48183,0,0,75,0,75,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Clark County, IN",Clark,Indiana,18019,0,75,0,75,75,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Somerset County, NJ",Somerset,New Jersey,34035,62,0,10,62,72,PJM,PSEG,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Silver Bow County, MT",Silver Bow,Montana,30093,65.5,0,0,65.5,65.5,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,same_ic,,,,,,,,,,,
"Durham County, NC",Durham,North Carolina,37063,62,0,0,62,62,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Madison County, TN",Madison,Tennessee,47113,0,60,0,60,60,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Montgomery County, TN",Montgomery,Tennessee,47125,60,0,0,60,60,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Baltimore city, MD",Baltimore,Maryland,24510,59.5,0,0,59.5,59.5,PJM,BGE,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Passaic County, NJ",Passaic,New Jersey,34031,57.44,0,0,57.44,57.44,PJM,PSEG,Eastern,public_zonal,same_ic,,,,,,,,,,,
"San Joaquin County, CA",San Joaquin,California,6077,6.5,0,50,6.5,56.5,CAISO,NP15,Western,public_lap,cross_ic_destination,,,,,,,,,,,
"Shelby County, AL",Shelby,Alabama,1117,0,22,33,22,55,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Montgomery County, TX",Montgomery,Texas,48339,53.88,1,0,54.88,54.88,ERCOT,LZ_HOUSTON,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Washington County, MN",Washington,Minnesota,27163,16.5,15,20,31.5,51.5,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Ford County, KS",Ford,Kansas,20057,0,0,51,0,51,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Erie County, NY",Erie,New York,36029,51,0,0,51,51,NYISO,ZONE_A,Eastern,public_zonal,same_ic,,,,,,,,,,,
"St. Louis city, MO",St. Louis,Missouri,29510,32.5,5,13,37.5,50.5,MISO,MISO_ILLINOIS_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Crow Wing County, MN",Crow Wing,Minnesota,27035,25,25,0,50,50,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Porter County, IN",Porter,Indiana,18127,0,0,50,0,50,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"St. Lawrence County, NY",St. Lawrence,New York,36089,50,0,0,50,50,NYISO,ZONE_F,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Jackson County, AL",Jackson,Alabama,1071,50,0,0,50,50,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Perry County, OH",Perry,Ohio,39127,24,0,26,24,50,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Hunt County, TX",Hunt,Texas,48231,0,0,48,0,48,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Capitol Planning Region, CT",Capitol,Connecticut,9110,1.6,0,44,1.6,45.6,ISO-NE,ISONE_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Pima County, AZ",Pima,Arizona,4019,28.53,0,16.6,28.53,45.13,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Macomb County, MI",Macomb,Michigan,26099,0,0,45,0,45,MISO,MISO_MICHIGAN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Wise County, VA",Wise,Virginia,51195,10,0,35,10,45,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Naugatuck Valley Planning Region, CT",Naugatuck Valley,Connecticut,9140,5,32,4,37,41,ISO-NE,ISONE_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Randall County, TX",Randall,Texas,48381,40.4,0,0,40.4,40.4,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Butler County, PA",Butler,Pennsylvania,42019,15.75,0,24.5,15.75,40.25,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Madison County, IA",Madison,Iowa,19121,0,40,0,40,40,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Cass County, TX",Cass,Texas,48067,40,0,0,40,40,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Autauga County, AL",Autauga,Alabama,1001,0,5,35,5,40,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Loudon County, TN",Loudon,Tennessee,47105,20,20,0,40,40,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Philadelphia County, PA",Philadelphia,Pennsylvania,42101,38.44,0,0,38.44,38.44,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"San Diego County, CA",San Diego,California,6073,37.5,0,0,37.5,37.5,CAISO,SP15,Western,public_lap,cross_ic_destination,,,,,,,,,,,
"Orange County, CA",Orange,California,6059,35.2,0,0,35.2,35.2,CAISO,SP15,Western,public_lap,cross_ic_destination,,,,,,,,,,,
"Pierce County, WA",Pierce,Washington,53053,34.95,0,0,34.95,34.95,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Suffolk County, MA",Suffolk,Massachusetts,25025,34.6,0,0,34.6,34.6,ISO-NE,ISONE_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Bernalillo County, NM",Bernalillo,New Mexico,35001,24,10,0,34,34,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Hamilton County, OH",Hamilton,Ohio,39061,33.61,0.3,0,33.91,33.91,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Duval County, FL",Duval,Florida,12031,30.9,0,0,30.9,30.9,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"McLeod County, MN",McLeod,Minnesota,27085,20,0,10,20,30,MISO,MISO_MINN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Greater Bridgeport Planning Region, CT",Greater Bridgeport,Connecticut,9120,15,12,3,27,30,ISO-NE,ISONE_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Bedford County, TN",Bedford,Tennessee,47003,20,0,10,20,30,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Johnson County, TN",Johnson,Tennessee,47091,0,0,30,0,30,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Broomfield County, CO",Broomfield,Colorado,8014,29.1,0,0,29.1,29.1,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Horry County, SC",Horry,South Carolina,45051,9,20,0,29,29,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Lee County, AL",Lee,Alabama,1081,4,16,8,20,28,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Mercer County, NJ",Mercer,New Jersey,34021,28,0,0,28,28,PJM,PSEG,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Williamson County, TN",Williamson,Tennessee,47187,27.7,0,0,27.7,27.7,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Allegheny County, PA",Allegheny,Pennsylvania,42003,27.4,0,0,27.4,27.4,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Snohomish County, WA",Snohomish,Washington,53061,27,0,0,27,27,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Rutherford County, TN",Rutherford,Tennessee,47149,2,10,15,12,27,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Toombs County, GA",Toombs,Georgia,13279,26,0,0,26,26,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Orange County, FL",Orange,Florida,12095,19.4,6,0,25.4,25.4,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Montgomery County, PA",Montgomery,Pennsylvania,42091,25.2,0,0,25.2,25.2,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Calloway County, KY",Calloway,Kentucky,21035,25,0,0,25,25,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
