Curtailment Hours,2022,2023,2024,2025,2022-2025 avg
20,4604.365913345666,3004.173444316668,2846.0511343626968,5544.549147649448,6180.064385509669
50,8941.812281176664,4521.244199099361,6119.476642238474,10517.276333200538,12789.601475235713
100,14737.81081466102,6497.842313275646,10015.313167813487,16065.849827247233,21218.476576432964
200,24159.6566929278,9621.393465676292,14820.717565088507,23436.032490965616,34895.17923746209
