fleet_gw,gross_spatial,spatial_avoided,non_migrating_mw,dvfs_commitment,local_dr_accredited,total_avoided,pct_e3
1.0,38.36219407019999,46.03463288423999,661.6378059297999,165.40945148244998,152.17669536385398,198.21132824809396,1.524702524985338
2.0,76.72438814039998,92.06926576847998,1323.2756118595998,330.81890296489996,304.35339072770796,396.4226564961879,3.049405049970676
5.0,191.81097035099998,230.17316442119997,3308.1890296489996,827.0472574122499,760.88347681927,991.05664124047,7.623512624926692
10.0,383.62194070199996,460.34632884239994,6616.378059297999,1654.0945148244998,1521.76695363854,1982.11328248094,15.247025249853383
15.0,575.4329110529999,690.5194932635999,9924.567088946998,2481.1417722367496,2282.6504304578098,2973.1699237214098,22.870537874780076
20.0,767.2438814039999,920.6926576847999,13232.756118595998,3308.1890296489996,3043.53390727708,3964.22656496188,30.494050499706766
