year,p10,p25,median,p75,p90
2026,10430.743816145852,10577.573848871994,10724.708731948362,10850.958625137868,10996.428517149601
2028,10736.14420973031,11172.651893517945,11657.894727442183,12194.41532675921,12667.36336831837
2030,15848.202255137274,16848.015273816105,18912.595599593704,20878.09335700346,21897.723384699795
2032,16674.41915567306,18056.663360947565,20234.517427563595,23540.56191127074,25373.673227212537
2035,11333.797421581705,12939.606895935522,16360.877661374456,19299.243941058852,22302.990080937812
