fleet_gw,fleet_mw,migrating_mw,mean,median,p5,p95,cvar5,pct_constrained,committed_mw,accredited_mw,annual_avoided_base,annual_avoided_ceja
0.5,500.0,220.49999999999997,0.4685623945012145,0.48292824999999995,0.30691276944671453,0.48292824999999995,0.2352844659514879,6.76775,234.28119725060725,215.5387014705587,38796966.26470056,44185433.801464535
1.0,1000.0,440.99999999999994,0.4638642485570453,0.48292824999999995,0.24095638472335726,0.48292824999999995,0.2051422329757439,8.62025,463.8642485570453,426.7551086724817,76815919.5610467,87484797.27785875
2.0,2000.0,881.9999999999999,0.45213409430976687,0.48292824999999995,0.20797819236167864,0.48292824999999995,0.19007111648787195,22.75975,904.2681886195337,831.926733529971,149746812.0353948,170544980.37364405
3.0,3000.0,1322.9999999999998,0.42499670668776884,0.48038252648025526,0.1969854615744524,0.48292824999999995,0.1850474109919146,50.711,1274.9901200633064,1172.990910458242,211138363.88248357,240463136.6439396
4.0,4000.0,1763.9999999999998,0.39039284275688535,0.40403689486019145,0.1914890961808393,0.48292824999999995,0.18253555824393597,74.8485,1561.5713710275413,1436.645661345338,258596219.04216087,294512360.57579434
5.0,5000.0,2204.9999999999995,0.35772902911483134,0.3582295158881531,0.18819127694467144,0.48292824999999995,0.18102844659514877,89.73225000000001,1788.6451455741567,1645.5535339282242,296199636.10708034,337338474.45528597
6.0,6000.0,2645.9999999999995,0.3304858269239039,0.32769126324012765,0.1859927307872262,0.4646036316949179,0.1800237054959573,96.743,1982.9149615434233,1824.2817646199494,328370717.6315909,373977761.7470896
8.0,8000.0,3527.9999999999995,0.29238346650798275,0.2895184474300957,0.18324454809041965,0.3922027237711884,0.17876777912196798,99.85475000000001,2339.067732063862,2151.9423134987533,387349616.4297756,441148174.2672444
10.0,10000.0,4409.999999999999,0.26892387077163404,0.2666147579440766,0.18159563847233573,0.3487621790169507,0.17801422329757438,100.0,2689.2387077163403,2474.099611099033,445337929.997826,507190420.2753018
12.0,12000.0,5291.999999999999,0.253269892309695,0.2513456316200638,0.1804963653936131,0.3198018158474589,0.17751185274797865,100.0,3039.23870771634,2796.0996110990327,503297929.99782586,573200420.2753017
15.0,15000.0,6614.999999999999,0.23761591384775602,0.23607650529605104,0.17939709231489048,0.2908414526779671,0.17700948219838292,100.0,3564.2387077163403,3279.099611099033,590237929.997826,672215420.2753018
