dest_absorb,queue_ok,mean_depth,p5_depth
0.15,0.65,0.32506047092012735,0.2099218380129819
0.15,0.683,0.32732529327640647,0.2134086249680507
0.15,0.716,0.3295901156326857,0.21689541192311954
0.15,0.749,0.3318549379889648,0.2203821988781884
0.15,0.782,0.334119760345244,0.2238689858332572
0.15,0.815,0.3363845827015232,0.227355772788326
0.15,0.848,0.3386494050578024,0.23084255974339488
0.15,0.881,0.3409142274140816,0.2343293466984637
0.15,0.9139999999999999,0.3431790497703608,0.23781613365353252
0.15,0.947,0.34544387212663996,0.24130292060860137
0.15,0.98,0.347708694482919,0.24478970756367022
0.19,0.65,0.35781964265267413,0.21197737430362323
0.19,0.683,0.3597367924065252,0.21544234588260788
0.19,0.716,0.3616539421603763,0.21890731746159242
0.19,0.749,0.3635710919142272,0.2223722890405771
0.19,0.782,0.3654882416680783,0.22583726061956172
0.19,0.815,0.36740539142192946,0.2293022321985463
0.19,0.848,0.3693225411757804,0.23276720377753093
0.19,0.881,0.3712396909296316,0.23623217535651556
0.19,0.9139999999999999,0.3731568406834826,0.2396971469355002
0.19,0.947,0.37507399043733364,0.2431621185144848
0.19,0.98,0.3769911401911847,0.24662709009346942
0.22999999999999998,0.65,0.37807965193609705,0.21403291059426455
0.22999999999999998,0.683,0.3797817825127146,0.217476066797165
0.22999999999999998,0.716,0.381483913089332,0.22091922300006533
0.22999999999999998,0.749,0.38318604366594955,0.22436237920296576
0.22999999999999998,0.782,0.38488817424256694,0.22780553540586618
0.22999999999999998,0.815,0.38659030481918455,0.2312486916087666
0.22999999999999998,0.848,0.38829243539580205,0.23469184781166702
0.22999999999999998,0.881,0.3899945659724196,0.23813500401456744
0.22999999999999998,0.9139999999999999,0.391696696549037,0.24157816021746784
0.22999999999999998,0.947,0.3933988271256544,0.24502131642036826
0.22999999999999998,0.98,0.3951009577022717,0.24846447262326868
0.27,0.65,0.38002770374656153,0.2160884468849059
0.27,0.683,0.38170915967828456,0.21950978771172208
0.27,0.716,0.3833906156100075,0.22293112853853828
0.27,0.749,0.3850720715417305,0.22635246936535447
0.27,0.782,0.3867535274734534,0.2297738101921707
0.27,0.815,0.38843498340517646,0.23319515101898688
0.27,0.848,0.39011643933689943,0.23661649184580308
0.27,0.881,0.3917978952686225,0.24003783267261927
0.27,0.9139999999999999,0.39347935120034544,0.24345917349943547
0.27,0.947,0.3951608071320682,0.24688051432625166
0.27,0.98,0.3968422630637911,0.2503018551530679
0.31,0.65,0.3812342288892826,0.21814398317554723
0.31,0.683,0.38290287998760847,0.2215435086262792
0.31,0.716,0.38457153108593417,0.22494303407701116
0.31,0.749,0.38624018218426004,0.2283425595277432
0.31,0.782,0.38790883328258574,0.23174208497847518
0.31,0.815,0.38957748438091166,0.23514161042920714
0.31,0.848,0.3912461354792374,0.2385411358799392
0.31,0.881,0.3929147865775633,0.24194066133067116
0.31,0.9139999999999999,0.394583437675889,0.24534018678140312
0.31,0.947,0.3962520887742147,0.24873971223213515
0.31,0.98,0.3979207398725404,0.25213923768286717
0.35,0.65,0.38180330936056095,0.22019951946618854
0.35,0.683,0.3834659208163081,0.22357722954083634
0.35,0.716,0.3851285322720551,0.22695493961548407
0.35,0.749,0.3867911437278022,0.23033264969013184
0.35,0.782,0.38845375518354913,0.23371035976477966
0.35,0.815,0.3901163666392963,0.23708806983942748
0.35,0.848,0.39177897809504336,0.24046577991407525
0.35,0.881,0.3934415895507905,0.24384348998872302
0.35,0.9139999999999999,0.3951042010065375,0.2472212000633708
0.35,0.947,0.3967668124622844,0.2505989101380186
0.35,0.98,0.39842942391803127,0.2539766202126663
0.39,0.65,0.3822920699922615,0.22225505575682988
0.39,0.683,0.3839494942386929,0.22561095045539345
0.39,0.716,0.38560691848512413,0.22896684515395704
0.39,0.749,0.38726434273155547,0.23232273985252058
0.39,0.782,0.3889217669779867,0.23567863455108415
0.39,0.815,0.39057919122441803,0.23903452924964774
0.39,0.848,0.39223661547084937,0.24239042394821134
0.39,0.881,0.3938940397172807,0.2457463186467749
0.39,0.9139999999999999,0.3955514639637119,0.2491022133453385
0.39,0.947,0.39720888821014305,0.25245810804390206
0.39,0.98,0.3988663124565743,0.25581400274246563
0.43000000000000005,0.65,0.3827197254436484,0.2243105920474712
0.43000000000000005,0.683,0.38437261098913394,0.2276446713699506
0.43000000000000005,0.716,0.38602549653461943,0.23097875069242996
0.43000000000000005,0.749,0.38767838208010497,0.2343128300149093
0.43000000000000005,0.782,0.3893312676255904,0.2376469093373887
0.43000000000000005,0.815,0.3909841531710759,0.24098098865986806
0.43000000000000005,0.848,0.39263703871656147,0.2443150679823474
0.43000000000000005,0.881,0.394289924262047,0.2476491473048268
0.43000000000000005,0.9139999999999999,0.3959428098075324,0.25098322662730616
0.43000000000000005,0.947,0.3975956953530177,0.25431730594978547
0.43000000000000005,0.98,0.3992485808985032,0.2576513852722649
0.47,0.65,0.38308600566709067,0.22636612833811254
0.47,0.683,0.3847350038860119,0.22967839228450768
0.47,0.716,0.38638400210493296,0.23299065623090282
0.47,0.749,0.38803300032385407,0.236302920177298
0.47,0.782,0.38968199854277513,0.23961518412369315
0.47,0.815,0.39133099676169636,0.2429274480700883
0.47,0.848,0.3929799949806175,0.24623971201648345
0.47,0.881,0.3946289931995387,0.24955197596287862
0.47,0.9139999999999999,0.39627799141845976,0.25286423990927376
0.47,0.947,0.39792698963738077,0.25617650385566887
0.47,0.98,0.39957598785630183,0.2594887678020641
0.51,0.65,0.3834261796389806,0.22842166462875388
0.51,0.683,0.38507156759659705,0.23171211319906482
0.51,0.716,0.3867169555542132,0.23500256176937573
0.51,0.749,0.3883623435118295,0.2382930103396867
0.51,0.782,0.39000773146944573,0.2415834589099977
0.51,0.815,0.3916531194270621,0.2448739074803086
0.51,0.848,0.3932985073846783,0.2481643560506195
0.51,0.881,0.3949438953422947,0.2514548046209305
0.51,0.9139999999999999,0.39658928329991083,0.2547452531912414
0.51,0.947,0.3982346712575271,0.2580357017615524
0.51,0.98,0.39988005921514314,0.2613261503318633
0.55,0.65,0.3837663536108707,0.2304772009193952
0.55,0.683,0.3854081313071822,0.23374583411362196
0.55,0.716,0.3870499090034935,0.2370144673078487
0.55,0.749,0.388691686699805,0.24028310050207544
0.55,0.782,0.3903334643961163,0.24355173369630215
0.55,0.815,0.39197524209242784,0.24682036689052889
0.55,0.848,0.39361701978873925,0.2500890000847556
0.55,0.881,0.3952587974850507,0.25335763327898236
0.55,0.9139999999999999,0.396900575181362,0.2566262664732091
0.55,0.947,0.3985423528776733,0.25989489966743584
0.55,0.98,0.4001841305739846,0.26316353286166255
