fleet_gw,fleet_mw,mean,median,p5,p95,cvar5,pct_constrained,mean_M_spatial,mean_M_defer,mean_M_DVFS,committed_mw,accredited_mw,committed_mw_p5,accredited_mw_p5,annual_avoided_base,annual_avoided_ceja
0.5,500.0,0.24610834495377373,0.24785493749596466,0.23681882787161226,0.2574920143789974,0.20578887455388234,1.5890000000000002,0.18732063783278835,0.031561204714215335,0.027226502406770107,123.05417247688686,113.20983867873592,118.40941393580613,108.93666082094164,20377770.962172467,23208016.929140862
1.0,1000.0,0.24567931801646115,0.24778461523796713,0.23616134812883116,0.25747232152063376,0.20005561005703493,3.0315000000000003,0.186594983509269,0.031719752021165955,0.027364582486026252,245.67931801646114,226.02497257514426,236.16134812883115,217.26844027852468,40684495.06352597,46335119.37790457
2.0,2000.0,0.24421202548550977,0.24755065193574166,0.2303960595995276,0.2574501927577253,0.17739662317785743,5.743,0.18411316806056413,0.03226500305851824,0.027833854366427414,488.42405097101954,449.350126893338,460.7921191990552,423.9287496631308,80883022.84080084,92116776.01313429
3.0,3000.0,0.24316091953673383,0.24745781144110474,0.20016961240948147,0.2574464622561985,0.16294865957371119,6.085249999999999,0.1823304766855311,0.032657886101636356,0.02817255674956628,729.4827586102015,671.1241379213853,600.5088372284445,552.4681302501689,120802344.82584935,137580448.273884
4.0,4000.0,0.2425901256547674,0.24744262255336316,0.18549240614410634,0.25744646225619844,0.15555637085510157,6.253749999999999,0.18136247225303923,0.032871064066060655,0.028356589335667523,970.3605026190696,892.7316624095441,741.9696245764253,682.6120546103114,160691699.23371795,183009990.79395655
5.0,5000.0,0.24218947324443915,0.24741794801411515,0.17704219165239507,0.25741268536229045,0.15102805076697634,6.56725,0.18068313681202436,0.03302062907826883,0.02848570735414599,1210.9473662221958,1114.0715769244202,885.2109582619754,814.3940816010174,200532883.84639564,228384673.26950616
6.0,6000.0,0.2418641187943616,0.24740622387982322,0.1716484054075182,0.2574126853622905,0.14794554059843218,6.880999999999999,0.18013196266190623,0.03314171081858985,0.028590445313865495,1451.1847127661695,1335.089935744876,1029.8904324451091,947.4991978495004,240316188.43407765,273693436.82769954
8.0,8000.0,0.24131812282166124,0.24733884552675078,0.1651113710364918,0.2574091602092981,0.14398550882337657,7.558,0.17920742269815568,0.03334474679407103,0.028765953329434504,1930.5449825732899,1776.1013839674267,1320.8909682919343,1215.2196908285796,319698249.1141368,364100783.71332246
10.0,10000.0,0.24082033865694794,0.24728916847896107,0.16118366367206347,0.25736912735275597,0.14152835237638725,8.466999999999999,0.178364287053935,0.033530259467712445,0.02892579213530045,2408.2033865694793,2215.547115643921,1611.8366367206347,1482.889705782984,398798480.8159058,454187158.70700383
12.0,12000.0,0.24025648185716092,0.2471478471320014,0.15865343614254301,0.25729421020676524,0.1398344586964064,10.891,0.17740889665786516,0.03374099257274706,0.029106592626548612,2883.077782285931,2652.4315597030563,1903.8412337105162,1751.533935013675,477437680.74655014,543748469.7391266
15.0,15000.0,0.23810882213217027,0.24595170733007996,0.15593132402186013,0.25698446508715245,0.13804976461941926,21.49325,0.17376167297572614,0.03454772910759147,0.029799420048852526,3571.632331982554,3285.90174542395,2338.969860327902,2151.85227150167,591462314.176311,673609857.8119098
